iteration,locational_cost,health_cost,mobility_cost,range_cost,proposed_cost,cumulative_distance
0,4689.429163665053,1972.6145818325283,4689.429163665053,2988.2521877746126,1972.6145818325283,0.0
1,4681.88440031786,1973.2222001589316,3435.4801685844805,2212.4884825122813,1485.3234176255748,0.021572258876432514
2,4674.39717444799,1969.2235872239958,3428.216505467064,2211.46768209982,1481.8582527335323,0.04233961665412404
3,4682.18392957571,1972.7769647878554,3434.7400465928213,2219.1115960760935,1484.5089121853005,0.06247595926326695
4,4672.849324562427,1967.939662281214,3426.561797682785,2219.761410154015,1480.5308988413924,0.08216582954612531
5,4663.212246401315,1962.8661232006589,3416.481476550606,2220.208786723715,1475.407404941972,0.10158045687646351
6,4656.2217244395015,1958.7758622197548,3403.4752573485393,2222.8398112501463,1469.0431842298274,0.12063182605579537
7,4652.241284368097,1956.6156421840492,3400.3184628673635,2224.9028096932343,1467.2425647670166,0.13942373508212402
8,4651.127469006604,1955.803734503301,3398.5386028026733,2223.022652393683,1466.8526347346692,0.15810179967050822
9,4644.737205250334,1952.3536026251654,3391.998340682153,2224.942388480728,1463.4991703410763,0.1768521714883579
10,4637.782375427238,1948.7061877136189,3386.3942009594557,2226.0342351728464,1460.7248782575077,0.19568558789741153
11,4636.604855743124,1947.5224278715602,3379.9300391620945,2228.911470701267,1457.631686247712,0.21478673223004827
12,4630.736589438186,1944.3332947190966,3373.869597767647,2231.3352515185607,1454.4347988838267,0.2342538439680599
13,4628.142851614142,1942.866425807071,3372.5440429761557,2232.527443814044,1453.799799265855,0.2541494977930689
14,4621.120282156259,1939.100141078128,3364.994210888934,2230.554456615361,1450.6082165555779,0.27440024092154636
15,4616.46353912081,1936.601769560404,3361.250603304679,2232.4512959130507,1448.5975238745607,0.2949037989284299
16,4611.812532098002,1934.021266049001,3355.9405683564128,2233.6444034418046,1445.8591730670953,0.3157939119686216
17,4610.97324316773,1933.261621583863,3352.8865618929904,2237.0803135724636,1444.221058724272,0.3370824023484315
18,4606.562341636307,1930.6311708181538,3346.788439389625,2240.711668101784,1441.1164419170345,0.3588321173872205
19,4601.5371297954425,1927.8635648977215,3342.0450214890584,2242.056828665196,1438.661399633417,0.3809468096681913
20,4595.888502425143,1924.6142512125662,3334.468907640469,2244.7163784465693,1434.817787153565,0.40336654531906596
21,4592.047691362048,1922.608845681023,3332.697236908874,2248.2938219299085,1433.487507343326,0.4261273693023551
22,4587.427676870579,1920.0438384352897,3327.4642803397783,2244.746305872062,1431.6210290587799,0.44920787227655323
23,4583.680318229629,1918.0001591148175,3324.366610868983,2245.92147894027,1429.9333054344918,0.47241107567814117
24,4580.26596076843,1916.037980384213,3319.9099630681235,2246.7496210211125,1427.7049815340606,0.4955978564379818
25,4578.120745729408,1914.7103728647044,3317.6213934841203,2249.6186001623423,1426.3940300753939,0.518825492831237
26,4573.6450411223,1912.2175205611527,3313.374480953029,2252.1732545803616,1424.1872404765145,0.5420487377790275
27,4570.424789283277,1910.3523946416371,3309.1453830155347,2252.2068716399567,1422.2393581744336,0.5653035234841599
28,4565.166080781814,1907.638040390907,3305.673562861454,2254.084033934273,1420.3090036529484,0.5885543317703641
29,4564.106193179133,1906.8530965895688,3303.2614832573054,2256.808351603995,1419.0196305175432,0.6115233797505133
30,4559.587477052329,1904.5087385261645,3299.4391350761884,2257.7857777112486,1416.997345315873,0.6339896399552709
31,4557.279996522643,1903.0149982613207,3296.6776200554127,2260.819391322073,1415.505476694373,0.6561801871019466
32,4554.194447884011,1901.4722239420064,3294.957033633643,2261.356882673312,1414.4785168168219,0.6778926068333968
33,4552.327331025056,1900.2836655125254,3290.8424171409315,2264.5015052543345,1412.2545419037979,0.6992493349364526
34,4551.169227474093,1899.6196137370453,3290.595974257266,2268.2724507571666,1411.7702093508533,0.7202166209900589
35,4548.2470370771,1898.1585185385495,3288.8403251523605,2269.296770908759,1410.725718131735,0.7408009225666712
36,4544.9842239238515,1896.4421119619233,3286.0313069586764,2269.7943169464015,1409.376764590449,0.7611061210659997
37,4544.714361542933,1896.307180771464,3285.3674331235457,2271.8482240604717,1408.7948276728807,0.7813115192342062
38,4540.71742293633,1894.4787114681633,3284.792712502905,2272.8183935033476,1408.146356251452,0.8014137047382319
39,4538.294940418159,1893.5224702090798,3286.454405366093,2272.811994775652,1408.7272026830478,0.8215863445869194
